2.53E-03,40,2.8,-0.012,-2
2.54E-03,60,3.6,0.004,-2
2.55E-03,40,2,-0.004,-2
2.56E-03,60,2.8,-0.004,2
2.57E-03,40,2.8,-0.004,2
2.58E-03,20,2.8,-0.012,-2
2.59E-03,60,2.8,0.004,-6
2.60E-03,80,2.8,-0.012,-2
2.61E-03,60,3.6,-0.012,-2
2.62E-03,60,2,-0.004,-2
2.63E-03,60,2.8,-0.004,2
2.64E-03,40,2.8,0.004,-2
2.65E-03,40,2.8,0.004,-6
2.66E-03,60,3.6,-0.012,-2
2.67E-03,40,2,-0.012,-2
2.68E-03,80,3.6,-0.004,-2
2.69E-03,40,2.8,-0.004,-2
2.70E-03,60,2.8,-0.012,-6
2.71E-03,80,2.8,-0.004,-2
2.72E-03,80,2,-0.012,-2
2.73E-03,40,3.6,-0.012,2
2.74E-03,80,2.8,-0.004,-2
2.75E-03,40,2.8,-0.004,-6
2.76E-03,80,2.8,-0.004,-2
2.77E-03,40,3.6,-0.012,-2
2.78E-03,60,3.6,-0.012,-2
2.79E-03,80,2.8,-0.012,-6
2.80E-03,40,3.6,0.004,-2
2.81E-03,60,2.8,-0.012,-2
2.82E-03,40,2.8,-0.004,-2
2.83E-03,40,3.6,-0.012,2
2.84E-03,20,2.8,0.004,-2
2.85E-03,60,2,-0.012,-2
2.86E-03,60,3.6,-0.004,-6
2.87E-03,60,2,-0.012,2
2.88E-03,40,2,-0.004,-2
2.89E-03,60,2.8,-0.004,-2
2.90E-03,40,2.8,-0.004,-6
2.91E-03,60,3.6,-0.012,-2
2.92E-03,40,2.8,0.004,-2
2.93E-03,40,2.8,-0.012,-2
2.94E-03,60,2.8,-0.004,2
2.95E-03,40,2.8,0.004,-2
2.96E-03,40,2.8,-0.02,-2
2.97E-03,40,2.8,-0.004,2
2.98E-03,40,2.8,-0.004,-2
2.99E-03,40,3.6,-0.012,-6
3.00E-03,40,2.8,-0.004,-2
3.01E-03,20,2.8,0.004,-6
3.02E-03,40,2,-0.004,-2
3.03E-03,40,2.8,-0.004,2
3.04E-03,2.22E-13,2.8,-0.004,-2
3.05E-03,20,2.8,-0.004,-2
3.06E-03,2.22E-13,2.8,-0.012,-2
3.07E-03,40,2.8,-0.012,2
3.08E-03,2.22E-13,2,-0.012,-2
3.09E-03,20,2,-0.004,-2
3.10E-03,20,2.8,-0.004,-6
3.11E-03,20,3.6,-0.004,-2
3.12E-03,20,2.8,-0.004,2
3.13E-03,2.22E-13,2,-0.004,-2
3.14E-03,20,2.8,-0.004,-2
3.15E-03,20,2.8,-0.004,2
3.16E-03,2.22E-13,2.8,-0.012,-2
3.17E-03,60,2,-0.004,-2
3.18E-03,20,2.8,-0.004,-2
3.19E-03,40,3.6,-0.012,-6
3.20E-03,40,3.6,-0.004,-2
3.21E-03,40,2.8,-0.004,-2
